+----------+-----------+----------+----------+-----------+------------+---------+-----------+----------+----------+-----------+------------+---------+------------+----------+----------+-----------+------------+---------+------------+
| Approach |   Metric  | BC Top-1 | BC Top-5 | BC Top-10 | BC Top-200 | BC Exam | BC Effort | AC Top-1 | AC Top-5 | AC Top-10 | AC Top-200 | AC Exam | AC Effort  | WC Top-1 | WC Top-5 | WC Top-10 | WC Top-200 | WC Exam | WC Effort  |
|          |   OCHIAI  |  * 0.16  |  * 0.29  |   * 0.34  |   * 0.53   |  # 0.10 | # 5917.49 |  + 0.12  |  * 0.22  |   * 0.26  |   * 0.44   |  # 0.17 | # 10669.13 |  + 0.09  |  * 0.16  |   * 0.20  |   * 0.35   |  # 0.32 | * 29193.33 |
|          |     D*    |  + 0.09  |  * 0.17  |   * 0.22  |   * 0.42   |  # 0.12 | # 6474.52 |  * 0.07  |  * 0.12  |   * 0.16  |   * 0.34   |  # 0.19 | # 11163.63 |  * 0.05  |  # 0.08  |   * 0.12  |   * 0.27   |  # 0.33 | * 29593.82 |
|          |   NAISH1  |  * 0.15  |  * 0.25  |   * 0.28  |     0.43   |    0.11 |   6192.22 |  * 0.11  |  * 0.19  |   * 0.21  |     0.35   |    0.18 |   10892.51 |  * 0.09  |  # 0.15  |   * 0.17  |     0.27   |    0.32 | $ 29388.82 |
|          |   NAISH2  |  * 0.15  |  * 0.29  |   * 0.35  |   * 0.53   |  # 0.10 | # 5918.11 |  * 0.11  |  * 0.22  |   * 0.26  |   * 0.44   |  # 0.17 | # 10664.46 |  * 0.09  |  * 0.16  |   * 0.20  |   * 0.35   |  # 0.32 | * 29184.27 |
|          |    GP13   |  * 0.16  |  * 0.29  |   * 0.35  |   * 0.54   |  # 0.10 | # 5915.00 |  * 0.12  |  * 0.22  |   * 0.27  |   * 0.45   |  # 0.17 | # 10670.93 |  * 0.09  |  * 0.17  |   * 0.20  |   * 0.35   |  # 0.32 | * 29192.49 |
| TW_ADUU  | TARANTULA |  * 0.16  |  * 0.30  |   * 0.36  |   * 0.55   |  # 0.10 | # 5917.95 |  * 0.11  |  * 0.22  |   * 0.26  |   * 0.46   |  # 0.17 | # 10663.84 |  + 0.09  |  * 0.17  |   * 0.20  |   * 0.36   |  # 0.32 | * 29195.16 |
|          |   OCHIAI  |  + 0.16  |  * 0.29  |   * 0.35  |   * 0.54   |  # 0.10 | # 5919.27 |  * 0.12  |  * 0.21  |   * 0.27  |   * 0.45   |  # 0.17 | # 10666.10 |  * 0.09  |  * 0.16  |   * 0.20  |   * 0.35   |  # 0.32 | * 29194.08 |
|          |     D*    |  * 0.09  |  * 0.17  |   * 0.22  |   * 0.43   |  # 0.12 | # 6475.46 |  * 0.07  |  * 0.12  |   * 0.16  |   * 0.34   |  # 0.19 | # 11163.76 |  * 0.05  |  # 0.08  |   * 0.12  |   * 0.27   |  # 0.33 | * 29593.12 |
|          |   NAISH1  |  * 0.15  |  * 0.25  |   * 0.29  |     0.44   |    0.11 |   6191.41 |  * 0.11  |  # 0.19  |   * 0.21  |     0.35   |    0.18 |   10893.19 |  * 0.09  |  # 0.15  |   * 0.17  |     0.27   |    0.32 | $ 29387.95 |
|          |   NAISH2  |  * 0.15  |  * 0.29  |   * 0.35  |   * 0.54   |  # 0.10 | # 5919.70 |  * 0.11  |  * 0.22  |   * 0.26  |   * 0.44   |  # 0.17 | # 10666.85 |  * 0.09  |  * 0.16  |   * 0.20  |   * 0.35   |  # 0.32 | * 29184.63 |
|          |    GP13   |  * 0.16  |  * 0.29  |   * 0.35  |   * 0.54   |  # 0.10 | # 5916.36 |  * 0.12  |  * 0.21  |   * 0.26  |   * 0.45   |  # 0.17 | # 10665.16 |  * 0.09  |  * 0.16  |   * 0.20  |   * 0.35   |  # 0.32 | * 29192.77 |
+----------+-----------+----------+----------+-----------+------------+---------+-----------+----------+----------+-----------+------------+---------+------------+----------+----------+-----------+------------+---------+------------+
